Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,2,186,5,Some Random Commen with Id 0
1,1,2,79,0,Some Random Commen with Id 1
2,2,1,101,9,Some Random Commen with Id 2
3,2,1,24,6,Some Random Commen with Id 3
4,2,1,72,2,Some Random Commen with Id 4
5,2,1,90,2,Some Random Commen with Id 5
6,2,1,57,0,Some Random Commen with Id 6
7,2,1,107,1,Some Random Commen with Id 7
8,2,1,119,0,Some Random Commen with Id 8
9,2,1,102,3,Some Random Commen with Id 9
10,3,2,85,1,Some Random Commen with Id 10
11,3,2,178,7,Some Random Commen with Id 11
12,3,2,154,6,Some Random Commen with Id 12
13,3,2,184,3,Some Random Commen with Id 13
14,3,2,154,5,Some Random Commen with Id 14
15,4,7,134,3,Some Random Commen with Id 15
16,4,7,147,2,Some Random Commen with Id 16
17,4,7,55,1,Some Random Commen with Id 17
18,4,7,67,7,Some Random Commen with Id 18
19,4,7,22,0,Some Random Commen with Id 19
20,4,7,100,9,Some Random Commen with Id 20
21,4,7,174,3,Some Random Commen with Id 21
22,4,7,7,7,Some Random Commen with Id 22
23,4,7,127,2,Some Random Commen with Id 23
24,5,7,167,9,Some Random Commen with Id 24
25,5,7,189,7,Some Random Commen with Id 25
26,5,7,86,7,Some Random Commen with Id 26
27,5,7,48,1,Some Random Commen with Id 27
28,6,6,77,5,Some Random Commen with Id 28
29,6,6,85,2,Some Random Commen with Id 29
30,6,6,108,3,Some Random Commen with Id 30
31,6,6,65,3,Some Random Commen with Id 31
32,6,6,1,3,Some Random Commen with Id 32
33,6,6,111,0,Some Random Commen with Id 33
34,6,6,152,5,Some Random Commen with Id 34
35,6,6,48,2,Some Random Commen with Id 35
36,6,6,143,9,Some Random Commen with Id 36
37,7,5,156,0,Some Random Commen with Id 37
38,7,5,45,8,Some Random Commen with Id 38
39,7,5,163,6,Some Random Commen with Id 39
40,7,5,1,8,Some Random Commen with Id 40
41,7,5,20,4,Some Random Commen with Id 41
42,7,5,28,6,Some Random Commen with Id 42
43,7,5,112,2,Some Random Commen with Id 43
44,7,5,112,8,Some Random Commen with Id 44
45,8,8,41,2,Some Random Commen with Id 45
46,8,8,174,8,Some Random Commen with Id 46
47,8,8,113,5,Some Random Commen with Id 47
48,8,8,128,4,Some Random Commen with Id 48
49,8,8,78,2,Some Random Commen with Id 49
50,8,8,50,2,Some Random Commen with Id 50
51,8,8,129,6,Some Random Commen with Id 51
52,8,8,13,1,Some Random Commen with Id 52
53,9,6,3,7,Some Random Commen with Id 53
54,9,6,71,0,Some Random Commen with Id 54
55,9,6,167,0,Some Random Commen with Id 55
56,9,6,94,2,Some Random Commen with Id 56
57,9,6,64,7,Some Random Commen with Id 57
58,9,6,187,8,Some Random Commen with Id 58
59,9,6,147,7,Some Random Commen with Id 59
60,9,6,115,2,Some Random Commen with Id 60
61,11,4,130,3,Some Random Commen with Id 61
62,11,4,107,6,Some Random Commen with Id 62
63,11,4,164,1,Some Random Commen with Id 63
64,11,4,131,9,Some Random Commen with Id 64
65,11,4,36,2,Some Random Commen with Id 65
66,12,9,198,8,Some Random Commen with Id 66
67,12,9,131,0,Some Random Commen with Id 67
68,12,9,4,7,Some Random Commen with Id 68
69,12,9,66,3,Some Random Commen with Id 69
70,12,9,106,9,Some Random Commen with Id 70
71,12,9,49,1,Some Random Commen with Id 71
72,12,9,65,5,Some Random Commen with Id 72
73,12,9,20,3,Some Random Commen with Id 73
74,12,9,194,3,Some Random Commen with Id 74
75,13,1,16,4,Some Random Commen with Id 75
76,13,1,27,7,Some Random Commen with Id 76
77,13,1,18,5,Some Random Commen with Id 77
78,13,1,131,1,Some Random Commen with Id 78
79,13,1,148,4,Some Random Commen with Id 79
80,16,2,129,6,Some Random Commen with Id 80
81,16,2,195,7,Some Random Commen with Id 81
82,16,2,17,4,Some Random Commen with Id 82
83,16,2,79,2,Some Random Commen with Id 83
84,16,2,114,3,Some Random Commen with Id 84
85,17,2,49,0,Some Random Commen with Id 85
86,18,9,80,7,Some Random Commen with Id 86
87,18,9,194,8,Some Random Commen with Id 87
88,18,9,144,3,Some Random Commen with Id 88
89,18,9,52,7,Some Random Commen with Id 89
90,18,9,99,5,Some Random Commen with Id 90
91,18,9,120,1,Some Random Commen with Id 91
92,18,9,26,7,Some Random Commen with Id 92
93,20,0,5,5,Some Random Commen with Id 93
94,20,0,33,6,Some Random Commen with Id 94
95,20,0,184,6,Some Random Commen with Id 95
96,20,0,163,3,Some Random Commen with Id 96
97,20,0,119,9,Some Random Commen with Id 97
98,20,0,55,6,Some Random Commen with Id 98
99,21,0,180,3,Some Random Commen with Id 99
100,21,0,52,2,Some Random Commen with Id 100
101,21,0,33,1,Some Random Commen with Id 101
102,21,0,155,6,Some Random Commen with Id 102
103,21,0,100,5,Some Random Commen with Id 103
104,21,0,184,3,Some Random Commen with Id 104
105,21,0,19,1,Some Random Commen with Id 105
106,21,0,24,9,Some Random Commen with Id 106
107,22,4,141,1,Some Random Commen with Id 107
108,22,4,55,8,Some Random Commen with Id 108
109,22,4,33,9,Some Random Commen with Id 109
110,23,6,162,3,Some Random Commen with Id 110
111,24,8,129,1,Some Random Commen with Id 111
112,24,8,97,0,Some Random Commen with Id 112
113,24,8,150,9,Some Random Commen with Id 113
114,24,8,81,9,Some Random Commen with Id 114
115,24,8,27,9,Some Random Commen with Id 115
116,24,8,122,5,Some Random Commen with Id 116
117,24,8,59,6,Some Random Commen with Id 117
118,24,8,176,4,Some Random Commen with Id 118
119,24,8,183,6,Some Random Commen with Id 119
120,25,7,157,9,Some Random Commen with Id 120
121,25,7,103,9,Some Random Commen with Id 121
122,25,7,6,4,Some Random Commen with Id 122
123,25,7,13,0,Some Random Commen with Id 123
124,26,4,143,3,Some Random Commen with Id 124
125,26,4,187,9,Some Random Commen with Id 125
126,26,4,139,1,Some Random Commen with Id 126
127,26,4,170,3,Some Random Commen with Id 127
128,26,4,140,2,Some Random Commen with Id 128
129,26,4,121,7,Some Random Commen with Id 129
130,27,5,110,5,Some Random Commen with Id 130
131,27,5,30,8,Some Random Commen with Id 131
132,27,5,33,6,Some Random Commen with Id 132
133,28,5,43,3,Some Random Commen with Id 133
134,28,5,84,9,Some Random Commen with Id 134
135,28,5,131,9,Some Random Commen with Id 135
136,29,8,30,6,Some Random Commen with Id 136
137,29,8,8,1,Some Random Commen with Id 137
138,29,8,25,8,Some Random Commen with Id 138
139,29,8,142,8,Some Random Commen with Id 139
140,29,8,46,2,Some Random Commen with Id 140
141,30,7,137,7,Some Random Commen with Id 141
142,30,7,9,9,Some Random Commen with Id 142
143,30,7,62,0,Some Random Commen with Id 143
144,30,7,176,3,Some Random Commen with Id 144
145,30,7,49,9,Some Random Commen with Id 145
146,30,7,42,0,Some Random Commen with Id 146
147,30,7,194,5,Some Random Commen with Id 147
148,30,7,106,5,Some Random Commen with Id 148
149,30,7,107,5,Some Random Commen with Id 149
150,31,7,151,8,Some Random Commen with Id 150
151,31,7,64,6,Some Random Commen with Id 151
152,31,7,144,4,Some Random Commen with Id 152
153,31,7,126,3,Some Random Commen with Id 153
154,32,9,22,6,Some Random Commen with Id 154
155,32,9,95,0,Some Random Commen with Id 155
156,32,9,89,4,Some Random Commen with Id 156
157,33,2,26,4,Some Random Commen with Id 157
158,33,2,52,3,Some Random Commen with Id 158
159,33,2,4,4,Some Random Commen with Id 159
160,33,2,70,6,Some Random Commen with Id 160
161,33,2,149,4,Some Random Commen with Id 161
162,33,2,155,5,Some Random Commen with Id 162
163,34,1,138,4,Some Random Commen with Id 163
164,34,1,74,5,Some Random Commen with Id 164
165,34,1,148,0,Some Random Commen with Id 165
166,34,1,47,1,Some Random Commen with Id 166
167,34,1,19,0,Some Random Commen with Id 167
168,34,1,107,6,Some Random Commen with Id 168
169,34,1,102,1,Some Random Commen with Id 169
170,35,5,170,4,Some Random Commen with Id 170
171,35,5,177,4,Some Random Commen with Id 171
172,35,5,86,1,Some Random Commen with Id 172
173,35,5,97,5,Some Random Commen with Id 173
174,36,5,146,8,Some Random Commen with Id 174
175,36,5,30,9,Some Random Commen with Id 175
176,36,5,168,4,Some Random Commen with Id 176
177,36,5,172,8,Some Random Commen with Id 177
178,37,6,9,3,Some Random Commen with Id 178
179,37,6,52,3,Some Random Commen with Id 179
180,37,6,92,0,Some Random Commen with Id 180
181,37,6,141,8,Some Random Commen with Id 181
182,37,6,10,1,Some Random Commen with Id 182
183,37,6,111,9,Some Random Commen with Id 183
184,37,6,134,0,Some Random Commen with Id 184
185,37,6,160,8,Some Random Commen with Id 185
186,38,8,76,8,Some Random Commen with Id 186
187,38,8,61,6,Some Random Commen with Id 187
188,38,8,109,7,Some Random Commen with Id 188
189,38,8,57,2,Some Random Commen with Id 189
190,38,8,184,6,Some Random Commen with Id 190
191,38,8,183,8,Some Random Commen with Id 191
192,38,8,45,1,Some Random Commen with Id 192
193,39,8,147,7,Some Random Commen with Id 193
194,39,8,140,5,Some Random Commen with Id 194
195,39,8,197,5,Some Random Commen with Id 195
196,39,8,129,3,Some Random Commen with Id 196
197,39,8,29,3,Some Random Commen with Id 197
198,39,8,150,8,Some Random Commen with Id 198
199,39,8,4,8,Some Random Commen with Id 199
